control_id,control_class,control,required_disposition,falsifies_if,intake_status,rejected_or_compared_as_required
WC01,simple_baseline,bare-ion radius ranking,COMPARE_NOT_SUPPRESS,SAM does not beat it on held-out rankings,PRECOMMITTED_REJECTION_BOUND,true
WC02,simple_baseline,hydrated-radius ranking,COMPARE_NOT_SUPPRESS,SAM does not beat it on held-out rankings,PRECOMMITTED_REJECTION_BOUND,true
WC03,simple_baseline,formal-charge ranking,COMPARE_NOT_SUPPRESS,SAM does not beat it on held-out rankings,PRECOMMITTED_REJECTION_BOUND,true
WC04,simple_baseline,charge-density proxy,COMPARE_NOT_SUPPRESS,SAM does not beat it on held-out rankings,PRECOMMITTED_REJECTION_BOUND,true
WC05,simple_baseline,conventional coordination-number ranking,COMPARE_NOT_SUPPRESS,SAM does not beat it on held-out rankings,PRECOMMITTED_REJECTION_BOUND,true
WC06,simple_baseline,pore-diameter-only ranking,COMPARE_NOT_SUPPRESS,SAM does not beat it on held-out rankings,PRECOMMITTED_REJECTION_BOUND,true
WC07,randomization,randomized shape assignments,REJECT_AS_EXPLANATION,random assignments perform equivalently,PRECOMMITTED_REJECTION_BOUND,true
WC08,leakage,observed rejection selects geometry,REJECT,any observed label enters construction or tie-break rules,PRECOMMITTED_REJECTION_BOUND,true
WC09,rescue_rule,new support rule per species or pore,REJECT,post-reveal rules are needed to retain the ranking,PRECOMMITTED_REJECTION_BOUND,true
WC10,rescue_rule,free coefficient per species or pore,REJECT,a fitted coefficient is needed to retain the ranking,PRECOMMITTED_REJECTION_BOUND,true
WC11,category_error,dimensionless A treated directly as pressure energy or flow,REJECT,the process bridge depends on an untyped conversion,PRECOMMITTED_REJECTION_BOUND,true
WC12,physical_artifact,sound-only conductivity drop treated as desalination,REJECT,no-gate sound is promoted before mass and artifact closure,PRECOMMITTED_REJECTION_BOUND,true
WC13,promotion_error,simulator result treated as physical membrane evidence,REJECT,model output is described as measured desalination,PRECOMMITTED_REJECTION_BOUND,true
WC14,role_conflation,SAM carrier role treated as a dissolved ion,REJECT,the bridge depends on type conflation,PRECOMMITTED_REJECTION_BOUND,true
