candidate_id,structural_bucket,subbucket,arity,in_81_row_projection,bin,route_combination,operator_class,route_class,partition_signature,closure_depth,q_sign,M_native,matter_row_allowed,stability_status,promotion_status,formula_family
QP093A-0001,ONE_BODY_DIRECT,DIRECT_STABLE,1,True,stable_matter_rows,"plus_single_write[p=1,g=0]",V4_1_SINGLE_WRITE,single_write,1,0,positive,1.25,yes,STABLE_MATTER_CANDIDATE,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,M1 = k_class * p * 12^g
QP093A-0002,ONE_BODY_DIRECT,DIRECT_STABLE,1,True,stable_matter_rows,"minus_single_write[p=1,g=0]",V4_1_SINGLE_WRITE,single_write,1,0,negative,1.5,yes,STABLE_MATTER_CANDIDATE,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,M1 = k_class * p * 12^g
QP093A-0003,ONE_BODY_DIRECT,DIRECT_STABLE,1,True,stable_matter_rows,"neutral_single_write[p=1,g=0]",OUTER_BINARY_NEUTRAL,outer_binary_neutral,1,0,neutral,0.125,yes,STABLE_NEUTRAL_CANDIDATE,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,M1 = k_class * p * 12^g
QP093A-0004,ONE_BODY_DIRECT,DIRECT_STABLE,1,True,stable_matter_rows,"plus_single_write[p=2,g=0]",V4_1_SINGLE_WRITE,single_write,2,0,positive,2.50,yes,STABLE_MATTER_CANDIDATE,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,M1 = k_class * p * 12^g
QP093A-0005,ONE_BODY_DIRECT,DIRECT_STABLE,1,True,stable_matter_rows,"minus_single_write[p=2,g=0]",V4_1_SINGLE_WRITE,single_write,2,0,negative,3.0,yes,STABLE_MATTER_CANDIDATE,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,M1 = k_class * p * 12^g
QP093A-0006,ONE_BODY_DIRECT,DIRECT_STABLE,1,True,stable_matter_rows,"neutral_single_write[p=2,g=0]",OUTER_BINARY_NEUTRAL,outer_binary_neutral,2,0,neutral,0.250,yes,STABLE_NEUTRAL_CANDIDATE,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,M1 = k_class * p * 12^g
QP093A-0007,ONE_BODY_DIRECT,DIRECT_STABLE,1,True,stable_matter_rows,"plus_single_write[p=3,g=0]",V4_1_SINGLE_WRITE,single_write,3,0,positive,3.75,yes,STABLE_MATTER_CANDIDATE,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,M1 = k_class * p * 12^g
QP093A-0008,ONE_BODY_DIRECT,DIRECT_STABLE,1,True,stable_matter_rows,"minus_single_write[p=3,g=0]",V4_1_SINGLE_WRITE,single_write,3,0,negative,4.5,yes,STABLE_MATTER_CANDIDATE,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,M1 = k_class * p * 12^g
QP093A-0009,ONE_BODY_DIRECT,DIRECT_STABLE,1,True,stable_matter_rows,"neutral_single_write[p=3,g=0]",OUTER_BINARY_NEUTRAL,outer_binary_neutral,3,0,neutral,0.375,yes,STABLE_NEUTRAL_CANDIDATE,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,M1 = k_class * p * 12^g
QP093A-0010,ONE_BODY_DIRECT,DIRECT_STABLE,1,True,stable_matter_rows,"plus_single_write[p=4,g=0]",V4_1_SINGLE_WRITE,single_write,4,0,positive,5.00,yes,STABLE_MATTER_CANDIDATE,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,M1 = k_class * p * 12^g
QP093A-0011,ONE_BODY_DIRECT,DIRECT_STABLE,1,True,stable_matter_rows,"minus_single_write[p=4,g=0]",V4_1_SINGLE_WRITE,single_write,4,0,negative,6.0,yes,STABLE_MATTER_CANDIDATE,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,M1 = k_class * p * 12^g
QP093A-0012,ONE_BODY_DIRECT,DIRECT_STABLE,1,True,stable_matter_rows,"neutral_single_write[p=4,g=0]",OUTER_BINARY_NEUTRAL,outer_binary_neutral,4,0,neutral,0.500,yes,STABLE_NEUTRAL_CANDIDATE,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,M1 = k_class * p * 12^g
QP093A-0013,ONE_BODY_DIRECT,DIRECT_STABLE,1,True,stable_matter_rows,"plus_single_write[p=6,g=0]",V4_1_SINGLE_WRITE,single_write,6,0,positive,7.50,yes,STABLE_MATTER_CANDIDATE,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,M1 = k_class * p * 12^g
QP093A-0014,ONE_BODY_DIRECT,DIRECT_STABLE,1,True,stable_matter_rows,"minus_single_write[p=6,g=0]",V4_1_SINGLE_WRITE,single_write,6,0,negative,9.0,yes,STABLE_MATTER_CANDIDATE,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,M1 = k_class * p * 12^g
QP093A-0015,ONE_BODY_DIRECT,DIRECT_STABLE,1,True,stable_matter_rows,"neutral_single_write[p=6,g=0]",OUTER_BINARY_NEUTRAL,outer_binary_neutral,6,0,neutral,0.750,yes,STABLE_NEUTRAL_CANDIDATE,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,M1 = k_class * p * 12^g
QP093A-0016,ONE_BODY_DIRECT,DIRECT_STABLE,1,True,stable_matter_rows,"plus_single_write[p=8,g=0]",V4_1_SINGLE_WRITE,single_write,8,0,positive,10.00,yes,STABLE_MATTER_CANDIDATE,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,M1 = k_class * p * 12^g
QP093A-0017,ONE_BODY_DIRECT,DIRECT_STABLE,1,True,stable_matter_rows,"minus_single_write[p=8,g=0]",V4_1_SINGLE_WRITE,single_write,8,0,negative,12.0,yes,STABLE_MATTER_CANDIDATE,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,M1 = k_class * p * 12^g
QP093A-0018,ONE_BODY_DIRECT,DIRECT_STABLE,1,True,stable_matter_rows,"neutral_single_write[p=8,g=0]",OUTER_BINARY_NEUTRAL,outer_binary_neutral,8,0,neutral,1.000,yes,STABLE_NEUTRAL_CANDIDATE,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,M1 = k_class * p * 12^g
QP093A-0019,ONE_BODY_DIRECT,DIRECT_STABLE,1,True,stable_matter_rows,"plus_single_write[p=9,g=0]",V4_1_SINGLE_WRITE,single_write,9,0,positive,11.25,yes,STABLE_MATTER_CANDIDATE,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,M1 = k_class * p * 12^g
