check_id,description,observed,passed,source
P1_sources_present,All load-bearing local and external sources are present.,True,True,source_chain
P2_external_event_inputs_frozen,"Fresh run uses primary external mass, delay, and distance values.","[{""quantity"": ""observed_GW_to_GRB_delay_s"", ""sigma"": 0.05, ""source"": ""LIGO/Virgo/Fermi/INTEGRAL ApJL 848 L13; arXiv:1710.05834"", ""value"": 1.74}, {""minus"": 0.01, ""plus"": 0.04, ""quantity"": ""total_mass_msun_low_spin"", ""source"": ""LIGO/Virgo PRL 119 161101; arXiv:1710.05832"", ""value"": 2.74}, {""minus"": 14, ""plus"": 8, ""quantity"": ""luminosity_distance_mpc"", ""source"": ""LIGO/Virgo PRL 119 161101; arXiv:1710.05832"", ""value"": 40.0}, {""quantity"": ""fermi_grb_trigger_utc"", ""source"": ""Fermi-GBM ApJL; arXiv:1710.05446"", ""value"": ""2017-08-17 12:41:06 UTC""}]",True,primary external sources
P3_CR116_massless_m18_channel,GW channel is backed by CR116 m=18 massless tensor-carrier theorem.,"{""D"": ""3"", ""R"": ""12"", ""all_predictions_passed"": true, ""all_wrong_controls_rejected"": true, ""alpha_H"": ""2"", ""branch"": ""14_FOUNDATIONAL_TESTS"", ""carrier_fraction"": ""1/8"", ""checks_csv"": ""CR116_18_GRAVITON_CARRIER_THEOREM\\CR116_checks.csv"", ""cr_id"": ""CR116"", ""execution_status"": ""CLEAN"", ""lock_json"": ""CR116_18_GRAVITON_CARRIER_THEOREM\\CR116_18_graviton_carrier_lock.json"", ""lock_sha256"": ""fb2b2936daea4b9c0206abf7405a34619ce060ce6afa40056bd1cc5809b3bcb9"", ""particle_catalog_status"": ""carrier_only_not_matter"", ""result_class"": ""CR116_PASS_18_GRAVITON_CHANNEL_CARRIER_THEOREM"", ""result_md"": ""CR116_18_GRAVITON_CARRIER_THEOREM\\CR116_result.md"", ""retained_fraction"": ""7/8"", ""signature_csv"": ""CR116_18_GRAVITON_CARRIER_THEOREM\\CR116_graviton_signature_table.csv"", ""source_chain_csv"": ""CR116_18_GRAVITON_CARRIER_THEOREM\\CR116_source_chain.csv"", ""split_loss_tensor_channel"": ""18.000000000000000000000000000000"", ""supporting_shared_road"": true, ""tensor_identity_alpha_H_D2"": ""18.000000000000000000000000000000"", ""test_class"": ""18_GRAVITON_CHANNEL_CARRIER_THEOREM"", ""wave_mode"": ""two trace-zero transverse tensor polarizations, massless, phase_speed=c"", ""wrong_controls_csv"": ""CR116_18_GRAVITON_CARRIER_THEOREM\\CR116_wrong_controls.csv""}",True,CR116
P4_CR006_A_integral_lane_available,Plain A-road integral lane is available for wrong-control testing.,"{""claim_tier"": ""PASS_SCOPED_PHOTON_ROAD_SHAPIRO"", ""execution_status"": ""CLEAN"", ""max_shape_relative_diff"": 3.5207108287053457e-13, ""pass_conditions"": {""endpoint_clock_only_rejected"": true, ""external_data_required"": true, ""free_parameters_introduced_zero"": true, ""impact_dependence_matches_log_shape"": true, ""no_older_test_outputs_used"": true, ""sam_delay_in_geometry_window"": true, ""sam_gamma_within_cassini_bound"": true, ""sam_integral_matches_log_law"": true, ""trace_ascii_clean"": true, ""wrong_controls_do_not_match_full_packet"": true, ""wrong_radial_shape_rejected"": true}, ""rule_9_falsification"": ""This test could have falsified the claim that SAM's photon-road exposure T_A^gamma=(1/c)integral A ds, using A(r)=r_s/r, recovers the first-order Shapiro logarithmic delay with Cassini-bounded PPN gamma = 1 and the correct impact-parameter dependence without fitted parameters."", ""sam_row"": {""A_scale"": 1.0, ""R_path_m"": 1410703288172.8694, ""candidate"": ""sam_photon_road_A_path"", ""delay_s"": 0.0001312155495196791, ""delay_us"": 131.2155495196791, ""endpoint_clock_only"": false, ""full_packet"": true, ""gamma_eff"": 1.0, ""impact_m"": 1113120000.0, ""impact_over_R_sun"": 1.6, ""include_A0_baseline"": false, ""integral_A_ds_m"": 39337.43211832531, ""log_relative_diff"": 1.790952533799713e-13, ""r_s_m"": 2953.3393820668784, ""radial_power"": 1.0, ""standard_log_delay_s"": 0.0001312155495197026, ""standard_log_delay_us"": 131.2155495197026}, ""scientific_verdict"": ""PASS"", ""test_id"": ""CR006_PHOTON_ROAD_SHAPIRO_EXTERNAL_CONTACT"", ""triage_bin"": ""A"", ""verdict"": ""CR006_PASS_SCOPED_PHOTON_ROAD_SHAPIRO_EXTERNAL_CONTACT"", ""wrong_control_full_packet_count"": 0, ""wrong_shape_max_relative_diff"": 0.7823263434636227}",True,CR006
P5_release_surface_from_A0,A0 threshold gives r_release/Rs and A_release without event fitting.,"{""A0"": 0.026525823848649224, ""A1_exact_status"": ""NO_ESCAPE_ZERO_DEPTH_BOUNDARY_NOT_LITERAL_LIGHT_LAUNCH_POINT"", ""A_release"": 0.05611455406252441, ""delta_A_from_A1_to_release"": 0.9438854459374756, ""formal_light_crossing_boundary_to_release_s"": 0.00045403255131580843, ""formal_static_A_integral_boundary_to_release_s"": 7.774813823798601e-05, ""r_release_m"": 144207.68447784058, ""r_release_over_rs"": 17.820688709131893, ""release_gap_from_A1_m"": 136115.53457097735, ""rs_m"": 8092.149906863248, ""rs_over_c_s"": 2.69925066189065e-05, ""slope_s_per_msun"": 0.6209699827478253, ""tau_engine_s"": 1.7014577527290415, ""threshold_roots"": [0.028057277031262207, 0.9454168991200886], ""x_outer"": 0.028057277031262207}",True,G96/G699c
P6_fresh_mass_prediction_within_1sigma,Using published 2.74 Msun mass predicts delay within 1 sigma.,"{""formula"": ""(5/8)*(r_release/Rs)^4*(Rs/c)"", ""lane"": ""fresh_release_engine_delay"", ""readout"": ""residual_sigma=0.770844945419169"", ""status"": ""ACTIVE_SAM_SOURCE_RELEASE_DIFFERENTIAL"", ""value_s"": 1.7014577527290415}",True,GW170817 mass + G96 law
P7_mass_uncertainty_band_within_1sigma,The published mass uncertainty band remains within the observed delay window.,"[{""mass_msun"": 2.7300000000000004, ""row"": ""mass_uncertainty_low"", ""tau_engine_s"": 1.6952480529015634}, {""mass_msun"": 2.7800000000000002, ""row"": ""mass_uncertainty_high"", ""tau_engine_s"": 1.7262965520389546}]",True,GW170817 mass uncertainty
P8_legacy_rounding_not_required,Fresh published mass works; the pass does not depend on old rounded 2.70 Msun.,"{""fresh"": 1.7014577527290415, ""legacy"": 1.6766189534191285}",True,fresh external rerun
P9_A1_no_escape_boundary_preserved,A=1 is not treated as a literal photon launch point.,NO_ESCAPE_ZERO_DEPTH_BOUNDARY_NOT_LITERAL_LIGHT_LAUNCH_POINT,True,SAM strong-boundary rule
P10_static_A_integral_rejected,A formal static first-order (1/c) int A dr across the release gap is far too small and is not the seconds-scale mechanism.,"{""observed_s"": 1.74, ""plain_s"": 7.774813823798601e-05, ""shortfall"": 22379.957120952313}",True,CR006 lane
