candidate_id,bin,latest_matter_row_allowed,stability_status,closure_status,matter_gate_reason,in_matter_table
QP093A-0001,stable_matter_rows,yes,STABLE_MATTER_CANDIDATE,CLOSED_WRITE,PASS_STABLE_SINGLE_WRITE_MATTER,yes
QP093A-0002,stable_matter_rows,yes,STABLE_MATTER_CANDIDATE,CLOSED_WRITE,PASS_STABLE_SINGLE_WRITE_MATTER,yes
QP093A-0003,stable_matter_rows,yes,STABLE_NEUTRAL_CANDIDATE,CLOSED_WRITE,PASS_STABLE_SINGLE_WRITE_MATTER,yes
QP093A-0004,stable_matter_rows,yes,STABLE_MATTER_CANDIDATE,CLOSED_WRITE,PASS_STABLE_SINGLE_WRITE_MATTER,yes
QP093A-0005,stable_matter_rows,yes,STABLE_MATTER_CANDIDATE,CLOSED_WRITE,PASS_STABLE_SINGLE_WRITE_MATTER,yes
QP093A-0006,stable_matter_rows,yes,STABLE_NEUTRAL_CANDIDATE,CLOSED_WRITE,PASS_STABLE_SINGLE_WRITE_MATTER,yes
QP093A-0007,stable_matter_rows,yes,STABLE_MATTER_CANDIDATE,CLOSED_WRITE,PASS_STABLE_SINGLE_WRITE_MATTER,yes
QP093A-0008,stable_matter_rows,yes,STABLE_MATTER_CANDIDATE,CLOSED_WRITE,PASS_STABLE_SINGLE_WRITE_MATTER,yes
QP093A-0009,stable_matter_rows,yes,STABLE_NEUTRAL_CANDIDATE,CLOSED_WRITE,PASS_STABLE_SINGLE_WRITE_MATTER,yes
QP093A-0010,stable_matter_rows,yes,STABLE_MATTER_CANDIDATE,CLOSED_WRITE,PASS_STABLE_SINGLE_WRITE_MATTER,yes
QP093A-0011,stable_matter_rows,yes,STABLE_MATTER_CANDIDATE,CLOSED_WRITE,PASS_STABLE_SINGLE_WRITE_MATTER,yes
QP093A-0012,stable_matter_rows,yes,STABLE_NEUTRAL_CANDIDATE,CLOSED_WRITE,PASS_STABLE_SINGLE_WRITE_MATTER,yes
QP093A-0013,stable_matter_rows,yes,STABLE_MATTER_CANDIDATE,CLOSED_WRITE,PASS_STABLE_SINGLE_WRITE_MATTER,yes
QP093A-0014,stable_matter_rows,yes,STABLE_MATTER_CANDIDATE,CLOSED_WRITE,PASS_STABLE_SINGLE_WRITE_MATTER,yes
QP093A-0015,stable_matter_rows,yes,STABLE_NEUTRAL_CANDIDATE,CLOSED_WRITE,PASS_STABLE_SINGLE_WRITE_MATTER,yes
QP093A-0016,stable_matter_rows,yes,STABLE_MATTER_CANDIDATE,CLOSED_WRITE,PASS_STABLE_SINGLE_WRITE_MATTER,yes
QP093A-0017,stable_matter_rows,yes,STABLE_MATTER_CANDIDATE,CLOSED_WRITE,PASS_STABLE_SINGLE_WRITE_MATTER,yes
QP093A-0018,stable_matter_rows,yes,STABLE_NEUTRAL_CANDIDATE,CLOSED_WRITE,PASS_STABLE_SINGLE_WRITE_MATTER,yes
QP093A-0019,stable_matter_rows,yes,STABLE_MATTER_CANDIDATE,CLOSED_WRITE,PASS_STABLE_SINGLE_WRITE_MATTER,yes
QP093A-0020,stable_matter_rows,yes,STABLE_MATTER_CANDIDATE,CLOSED_WRITE,PASS_STABLE_SINGLE_WRITE_MATTER,yes
QP093A-0021,stable_matter_rows,yes,STABLE_NEUTRAL_CANDIDATE,CLOSED_WRITE,PASS_STABLE_SINGLE_WRITE_MATTER,yes
QP093A-0022,stable_matter_rows,yes,STABLE_MATTER_CANDIDATE,CLOSED_WRITE,PASS_STABLE_SINGLE_WRITE_MATTER,yes
QP093A-0023,stable_matter_rows,yes,STABLE_MATTER_CANDIDATE,CLOSED_WRITE,PASS_STABLE_SINGLE_WRITE_MATTER,yes
QP093A-0024,stable_matter_rows,yes,STABLE_NEUTRAL_CANDIDATE,CLOSED_WRITE,PASS_STABLE_SINGLE_WRITE_MATTER,yes
QP093A-0025,stable_matter_rows,yes,STABLE_MATTER_CANDIDATE,CLOSED_WRITE,PASS_STABLE_SINGLE_WRITE_MATTER,yes
QP093A-0026,stable_matter_rows,yes,STABLE_MATTER_CANDIDATE,CLOSED_WRITE,PASS_STABLE_SINGLE_WRITE_MATTER,yes
QP093A-0027,stable_matter_rows,yes,STABLE_NEUTRAL_CANDIDATE,CLOSED_WRITE,PASS_STABLE_SINGLE_WRITE_MATTER,yes
QP093A-0028,stable_matter_rows,yes,STABLE_MATTER_CANDIDATE,CLOSED_WRITE,PASS_STABLE_SINGLE_WRITE_MATTER,yes
QP093A-0029,stable_matter_rows,yes,STABLE_MATTER_CANDIDATE,CLOSED_WRITE,PASS_STABLE_SINGLE_WRITE_MATTER,yes
QP093A-0030,stable_matter_rows,yes,STABLE_NEUTRAL_CANDIDATE,CLOSED_WRITE,PASS_STABLE_SINGLE_WRITE_MATTER,yes
QP093A-0031,stable_matter_rows,yes,STABLE_MATTER_CANDIDATE,CLOSED_WRITE,PASS_STABLE_SINGLE_WRITE_MATTER,yes
QP093A-0032,stable_matter_rows,yes,STABLE_MATTER_CANDIDATE,CLOSED_WRITE,PASS_STABLE_SINGLE_WRITE_MATTER,yes
