check_id,description,expected,observed,status
LC01_CHECK_001,CR113 result class,CR113_PASS_A4_COMPLETED_WRITE_ADDRESS_COUNT_THEOREM,CR113_PASS_A4_COMPLETED_WRITE_ADDRESS_COUNT_THEOREM,PASS
LC01_CHECK_002,CR113 R value,12,12,PASS
LC01_CHECK_003,CR114 result class,CR114_PASS_BINARY_FACE_STATE_SPLIT_THEOREM,CR114_PASS_BINARY_FACE_STATE_SPLIT_THEOREM,PASS
LC01_CHECK_004,CR114 face state count,8,8,PASS
LC01_CHECK_005,CR114 carrier fraction,1/8,1/8,PASS
LC01_CHECK_006,CR114 retained fraction,7/8,7/8,PASS
LC01_CHECK_007,CR114 split loss,18,18,PASS
LC01_CHECK_008,CR114 retained parent,126,126,PASS
LC01_CHECK_009,CR114 observed surface,501/4,501/4,PASS
LC01_CHECK_010,CR115 result class,CR115_PASS_D3_INVARIANT_CARRIER_UNIQUENESS_THEOREM_GATE,CR115_PASS_D3_INVARIANT_CARRIER_UNIQUENESS_THEOREM_GATE,PASS
LC01_CHECK_011,CR115 stable D set,3,3,PASS
LC01_CHECK_012,CR116 result class,CR116_PASS_18_GRAVITON_CHANNEL_CARRIER_THEOREM,CR116_PASS_18_GRAVITON_CHANNEL_CARRIER_THEOREM,PASS
LC01_CHECK_013,CR116 carrier status,carrier_only_not_matter,carrier_only_not_matter,PASS
LC01_CHECK_014,CR116 tensor identity,18,18,PASS
LC01_CHECK_015,CR104c lock id,CR104c_NINE_SIXTEENTHS_AND_NINE_EIGHTHS_UNIFICATION_APPEAL_LOCK,CR104c_NINE_SIXTEENTHS_AND_NINE_EIGHTHS_UNIFICATION_APPEAL_LOCK,PASS
LC01_CHECK_016,bounce lift D^2/2^D,9/8,9/8,PASS
LC01_CHECK_017,resolved half-bounce D^2/2^(D+1),9/16,9/16,PASS
LC01_CHECK_018,surface debit distinct from carrier side,True,True,PASS
LC01_CHECK_019,18 carrier loss equals alpha_H*D^2,18,18,PASS
LC01_CHECK_020,lane register count,10,10,PASS
LC01_CHECK_021,wrong controls count,30,30,PASS
LC01_CHECK_022,source files exist,True,True,PASS
LC01_CHECK_023,wrong controls are rejected now or registered for lane replay,True,True,PASS
