order,event_id,source,source_hash,event,classification,ledger_effect,notes
1,CR119_ROW_APPEARS,09a_PARTICLE_MASS_CHAIN/CR119_PARTICLE_MATTER_PERIODIC_VAULT_REVEAL/CR119_courtroom_particle_table.csv,5b937d284d6c0b93a5f875acc5fbf63780fd924c90202743865d845fb1d1fc42,QP093A-0305 appears as A_FIELD_CARRIER row in physical CSV line 306,HISTORICAL_ROW_SHAPED_TRACE,not active after later retirement,Preserve row as historical source occurrence; do not restore as particle.
2,CR215_NUMERIC_COLLISION,09a_PARTICLE_MASS_CHAIN/CR215_CR214_CARRIER_NUMERIC_DUPLICATE_AUDIT/CR215_numeric_duplicate_groups.csv,8d8f0461d2e54df89a57cc1d16a886efa792fa8b900c38b0c083c717bc8d8f98,QP093A-0301 and QP093A-0305 share numeric signature but descriptors differ,NUMERIC_DUPLICATE_WITH_DESCRIPTOR_DIFFERENCE,active status not resolved by CR215,CR215 defers interpretation.
3,CR216_RETIREMENT,09a_PARTICLE_MASS_CHAIN/CR216_CARRIER_DUPLICATE_RETIREMENT/CR216_retirement_ledger.csv,c85b1b766435c33504ad6004f44f9aef35cf95614a78216f164b3d9ab0647610,QP093A-0305 retired; QP093A-0301 retained,ACTIVE_ROW_RETIREMENT,active complement 194 rows,Load-bearing basis is footprint identity plus lower-ID tiebreak; QED paragraph descriptive.
4,QP102_LEDGER_BREAK,C:/VS/quantum_phase/artifacts/qp102_tensor_sum_ledger_closure/qp102_summary.json,0642030260f7f1c61e04da20749f049f92634a9356cc61c8bd9f660e8682e180,13 valid T13 rows sum to L=162; adding A_FIELD_CARRIER partition 1 gives 163,ROW_RESTORATION_WRONG_CONTROL,restored row breaks ledger,This applies to active row restoration only, not to non-row A_OPERATOR.
5,QP103_A_ABOVE_LEDGER,C:/VS/quantum_phase/artifacts/qp103_a_field_location/qp103_summary.json,bb13b6338267a8b23905a73edd9c5cd3bfcfeb6d95b276db4c5adc2c247d21c4,A belongs above ledger as field/operator/scale,NON_ROW_A_LOCATION,non-row operator does not add a ledger slot,User correction preserved: non-row A will not take 162 to 163.
6,CR256_A_OPERATOR,09a_PARTICLE_MASS_CHAIN/CR256_A_OPERATOR_ANTIMATTER_CONJUGATE/CR256_summary.json,721a64f48b4977d736a4e362f4091857fd8628c4808444ce78d3159b8a7f630b,A non-row operator executes 32/32 antimatter conjugate transform with hard-zero,ACTIVE_NON_ROW_OPERATOR,no row slot added,Executable effect after row retirement.
7,CR257B_SURFACE_CONTACT,09a_PARTICLE_MASS_CHAIN/CR257b_A_MEETS_THETA_AT_D_1_W4_CORRECTION/CR257b_summary.json,0585d00bd2e11b9eb4e78a7bec88982475db6233e91869c18560e749ccc402a5,A route scale meets surface scale at d=1,SURFACE_CONTACT_EVIDENCE,no row slot added,Supports contact/surface meeting; not direct axis weld.
8,CR267_AXIS_SELF,09a_PARTICLE_MASS_CHAIN/CR267_TENSOR_9_CLOSURE_WITNESS/CR267_result.md,098c88a2275a359e6a9305836bb79baac306b1562dea117c1ecd2509f5b034e3,CR267 seals 9=(2+1)^2=4+4+1 with +1 as axis self-coupling,AXIS_SELF_CLOSURE_WITNESS,no row slot added,Does not prove A acts through X1.
9,CR269_B_CONTACT,09a_PARTICLE_MASS_CHAIN/CR269_BOW_PRIMITIVE_CONTACT_OPERATOR/CR269_result.md,c4cd0142a8d43b810c438586242a68f429de675f0d168169a11b085653d142ea,B/contact operator sealed as formal contact operator on R^2,COMPETING_OPERATOR_MODEL,no row slot added,Must remain in model slate; prevents forced A victory.
10,CR282_ADJUDICATION,09a_PARTICLE_MASS_CHAIN/CR282_A_OPERATOR_ROW_TRACE_AXIS_SELF_CLOSURE_WELD,UNSEALED_PRECOMMIT,Adjudicate row trace and axis weld under firewall,NEW_CR,non-row A remains non-row,Expected honest verdict is BOUNDARY unless independent A-to-axis bridge appears.
