wrong_control,attempted_action,why_invalid,runner_protection,observed,passes_as_failure
WC1_shuffled_time_labels,randomize the time-label assignment after acquisition to mask the crossing,time-label randomization is permitted at acquisition (precommit) but never after; relabeling destroys the trajectory,time grid is precommitted in CR223c_PRECOMMIT.md and read-only at analysis time,T_GRID_OVER_T2 hard-coded; no runtime label mutation,True
WC2_shuffled_sensor_values,shuffle sensor readings across time points before calibration,"breaks the (S(t), label(t)) pairing required for honest classifier training",sensor and tomography readings retain trial-index and time-index together in the per-trial arrays,"train/test calibration uses ravel() of (n_trials, n_t) without cross-time permutation",True
WC3_population_only_threshold,declare crossing on populations alone with no tomography,loaded coherent and dephased same-population states are indistinguishable from populations (CR223b WC1),"primary tomography pipeline reconstructs full rho via 8 Gell-Mann observables; sensor proxy is calibrated against tomography labels, not used to replace them",tomography pipeline operative for every trial; sensor proxy validated against tomography labels,True
WC4_wrong_A_side_one_over_12,use A_share = 1/12 in place of A_side = 1/24,"A_side is the campaign-locked SAM invariant; A_share is the basin-commit boundary, not the early-warning threshold",A_SIDE is hard-coded as 1/24 and never overwritten,A_SIDE = 0.04166666666666666,True
WC5_scalar_23_over_24_coefficient_substituted,report t_fire = ln(24/23)/2 * T2 instead of a tomography-defined crossing,CR223a M1 surrogate is not the qutrit channel; using its coefficient as the hardware crossing is a category swap,"self-test compares t_fire_tomo against CR223a M4 (loaded NV Lindblad) coefficient, not M1",CR223a M4 reference = 0.0289615; CR223a M1 = 0.0212798 (not used),True
WC6_train_test_leakage_in_sensor_calibration,use the same trials for sensor threshold tuning and final evaluation,reusing trials inflates apparent balanced accuracy,train_rng_seed = 70260621; test_rng_seed = 80260621; train and test trial bundles are independently sampled,seed_train=70260621 != seed_test=80260621,True
WC7_unreported_post_selection_of_time_points,silently drop time points where A_hat looks 'noisy' before finding the crossing,post-hoc removal of grid points hides crossing instability,every precommitted grid time is recorded in CR223c_tomography_trajectory.csv; no post-selection,reported grid length = 10,True
WC8_crossing_inferred_from_fitted_curve_only,fit an analytic curve to noisy A_hat(t) and report its smooth-curve crossing as the observed crossing,curve-fit crossings can claim sub-grid precision the raw data does not support,reported t_fire_tomo uses LINEAR INTERPOLATION between consecutive raw grid points only; no fitted-curve crossing,"interp_crossing_time uses (t_lo, t_hi) of bracketing grid points",True
WC9_zero_wait_control_fires,threshold report at t=0 (zero-wait control) should NOT fire if pipeline is honest,firing at t=0 means the estimator has positive offset bias beyond the threshold,zero-wait scenario runs the full pipeline at t=0; if any A_hat in the scenario reaches A_side the WC fails,max A_hat in zero-wait scenario = 0.017224; A_side = 0.041667,True
WC10_no_decoherence_control_fires,threshold report under no-decoherence (gamma_1 = gamma_phi = 0) should NOT fire,firing under no decoherence means false-positive at the threshold; pipeline cannot be trusted,no-decoherence scenario runs the full pipeline at every grid time; failure if any A_hat >= A_side,max A_hat in no-decoherence scenario = 0.016437; A_side = 0.041667,True
