check_id,kind,pass,details
P1_markdown_source_emitted,prediction,true,"{""bytes"": 9925}"
P2_pdf_distribution_emitted_and_under_30_pages,prediction,true,"{""limit"": 30, ""pages"": 4}"
P3_stewardship_front_matter_verbatim,prediction,true,"{""stewardship_bytes"": 1017}"
P4_all_CR070a_to_CR074a_result_classes_visible,prediction,true,"{""result_classes_checked"": 5}"
P5_failures_and_provisional_status_visible,prediction,true,"{""missing"": []}"
P6_bus_factor_1_named,prediction,true,"""bus factor phrase scan"""
P7_partner_lab_verification_path_named,prediction,true,"""citation verification plus A_leak(t)/t_fire scan"""
P8_clear_ask_present,prediction,true,"""clear ask section scan"""
P9_scope_boundaries_present,prediction,true,"{""missing"": []}"
P10_formula_surface_visible,prediction,true,"{""missing"": []}"
P11_09a_connection_notes_present_with_boundary,prediction,true,"{""missing"": []}"
P12_protocol_completes_end_to_end,prediction,true,"""structural"""
WC1_missing_stewardship_would_fail,wrong_control,true,"""P3 would fail if front matter were removed"""
WC2_missing_result_class_would_fail,wrong_control,true,"""P4 checks all CR070a-CR074a result classes"""
WC3_hidden_failure_would_fail,wrong_control,true,"{""required_failure_phrases"": [""4 violations"", ""0/14"", ""load-bearing"", ""PROVISIONAL_AUTHOR_BEST_EFFORT"", ""requirements drift""]}"
WC4_page_limit_enforced,wrong_control,true,"{""limit"": 30, ""pages"": 4}"
WC5_scope_overclaim_rejected,wrong_control,true,"{""required_boundary_phrases"": [""This is not a hardware demonstration."", ""This is not a partner-lab agreement."", ""This is not a commercial deployment."", ""This is not external validation of the PR letter.""]}"
WC6_formula_appendix_required,wrong_control,true,"{""required_formula_phrases"": [""A_side = 1/24"", ""A_share = 1/12"", ""c0_SAM = -0.5 * ln(23/24)"", ""t_fire = coherence_time * c0_SAM"", ""textbook proxy = coherence_time * 0.5""]}"
WC7_09a_overreach_guard,wrong_control,true,"{""required_09a_boundary_phrases"": [""CR220-CR228 are included here as connection context only."", ""not directly validate PR quantum hardware""]}"
WC8_no_free_parameters,wrong_control,true,"{""free_parameters"": 0}"
