claim_id,status,finding,evidence
E01_SOURCE_IMPORTED,PASS,"Imported markdown resolved, hashed, and copied as sanitized CR213 input.",source_sha256=afcc70f8fa71c613982f8d733f646f771d2053a51ee9b6dd5ea2977777dab030; imported_bytes=10115
E02_CR115_D3_UNIQUE,BACKED,CR115 computes obstruction_dim = 3-D and selects D=3 as the unique stable row.,stable_ds = [3]
E03_CR115_NO_REVERSE_DERIVATION,BACKED,CR115 wrong controls reject deriving D=3 from downstream particle/Higgs/R/A0 matches.,WC14 present
E04_CR119_ROW_BOUNDARY,BACKED,CR119 is 321 particle rows plus 126 matter rows plus 126 periodic rows; not 126 particle rows.,"{""matter"": 126, ""particle"": 321, ""periodic"": 126, ""vault_identity_assignments"": 573}"
E05_CR119_REVEAL_BOUNDARY,BACKED,CR119 keeps known labels downstream-only and preserves null-conjugate/no-matter-promotion boundary.,"{""known"": {""particle"": 1, ""periodic"": 118}, ""null_boundary"": true}"
E06_LC02_D3_REPLAY,BACKED,LC02 replays H_native and H_reveal from locked primitives with CR120 caveat preserved.,"{""H_native"": ""126"", ""H_reveal"": ""125.250000000000000000000000000000"", ""claim_grade"": ""DOWNSTREAM_REPLAY_PASS_NOT_NEW_FORWARD_BLIND_EMPIRICAL_DISCOVERY""}"
E07_LC04_D3_PARTICLE_REPLAY,BACKED,LC04 locks D=3 in the primitive stack and replays the particle table without mutation.,"{""D"": 3, ""particle_table"": {""CR119_csv_particle_rows"": 321, ""CR119_summary_matter_rows"": 126, ""CR119_summary_particle_rows"": 321, ""CR119_summary_periodic_rows"": 126}}"
E08_LC04_BOUNDARY,BACKED,LC04 preserves generator-grade and carrier/matter/qA boundaries.,"LC04 replay scope,LOCKED,LC04 tests particle mass-chain/table replay only; periodic/isotope vault replay is a separate LC05 lane.; No fit-number mutation,LOCKED,""LC04 imports alpha_H, R, D, split, bounce, and surface debit from LC01; it does not tune them per row.""; Observed-mass use,LOCKED,""CR061a-CR064a keep observed values as reveal-only residual columns, not construction inputs."""
E09_QP093A_D_INPUT,BACKED_UPSTREAM_INTAKEN,"QP093A source fixes R=12, D=3, alpha_H=2; CR119/LC04 are the Courtroom intake/replay surfaces.",R = Decimal(12); D = Decimal(3); ALPHA_H = Decimal(2)
E10_ROLE_OPERATOR_D_DEPENDENCE,SUGGESTIVE_UPSTREAM,"Role-operator source has multiple D-dependent k/q expressions, but CR213 does not execute D-perturbation.","{""D_power_2"": 3, ""D_power_4"": 1, ""D_power_B"": 2, ""D_power_D"": 2, ""D_times_B"": 11, ""D_times_B_power_2"": 3}"
E11_LEPTON_GENERATION_BREADCRUMB,SUGGESTIVE_NOT_DERIVED,"The charged-lepton breadcrumb is a comment plus three explicit rows, not a computed generation-count theorem.","{""SAM_CL_rows"": 3, ""comment_present"": true}"
E12_CR092A_D_PREMISE,BACKED,CR092a records D=3 as an upstream typed input for the HZZ4l/Higgs intake chain.,"{""provenance"": ""Displacement-response matter identity, G355 structural-theorem grade inside SAM; substrate work cited in 09a/CR059a allowed inputs"", ""value"": 3}"
E13_GENERATION_COUNT_DERIVATION,OPEN,No Courtroom or Last Campaign artifact found here derives the SM generation count specifically from D=3.,next CR should run perturbation/replay or derive generation count directly
