check,passed,observed,expected
a_side_locked_1_over_24,True,0.04166666666666666,1/24
time_grid_matches_precommit,True,"[0.0, 0.01, 0.02, 0.025, 0.03, 0.035, 0.04, 0.05, 0.07, 0.1]","[0, 0.01, 0.02, 0.025, 0.03, 0.035, 0.04, 0.05, 0.07, 0.10]"
self_test_tomography_first_cross_inside_window,True,first_cross_index = 4,"> 0 (strictly within window, not at t=0)"
self_test_t_fire_tomo_within_one_grid_step_of_cr223a_m4,True,|0.027415 - 0.028961| = 0.001547,< 0.030000 (max grid step)
self_test_crossing_classification_matched_or_shifted,True,MATCHED_MODEL,MATCHED_MODEL or SHIFTED_FROM_MODEL
sensor_balanced_accuracy_at_least_0_80,True,0.8767,>= 0.80
sensor_vs_tomo_crossing_within_one_grid_interval,True,0,<= 1
zero_wait_control_does_not_fire,True,max A_hat = 0.017224; A_side = 0.041667,< 0.041667
no_decoherence_control_does_not_fire,True,max A_hat = 0.016437; A_side = 0.041667,< 0.041667
raw_data_interface_present_pre_or_post_data,True,raw/RAW_MANIFEST.csv exists; raw/HASHES.txt exists,both files present (template if no raw data yet)
pre_data_state_documented_if_no_raw,True,raw_present=False,"when raw_present is False, result class is PIPELINE_SEALED__SELF_TEST_PASS__AWAITING_RAW_DATA"
wrong_controls_all_documented_as_failures,True,10/10,10
