check,passed,observed,expected
a_side_locked_to_1_over_24,True,0.04166666666666666,1/24
bias_tolerance_locked_to_1_over_96,True,0.01041666666666667,1/96
seven_synthetic_states_present,True,7,7
S1_S2_share_populations_within_1e_12,True,"[0.23529411764705882, 0.5294117647058824, 0.23529411764705882] vs [0.23529411764705882, 0.5294117647058824, 0.23529411764705882]",identical populations
S1_purity_1_S2_purity_113_over_289,True,"A(S1)=0.000000, A(S2)=0.608997",0 and 176/289
S4_A_true_equals_A_side,True,0.0416666667,0.0416666667
P1_tomography_distinguishes_S1_from_S2,True,"|E[A_S1]-E[A_S2]|_PSD=0.593503, |..|_pop=0.000620","tomography separates by >0.3, population-only by <0.05"
P2_bias_under_1_over_96_for_near_threshold_states,True,"max |bias| over ['S3', 'S4', 'S5'] = 0.002452",< 0.010417
P3_balanced_accuracy_at_least_0_90,True,0.9031,>= 0.90
P4_coverage_on_near_threshold_states_at_least_0_90,True,"3/3 = 1.000 (states ['S3', 'S4', 'S5'])",>= 0.90 on the operationally relevant near-threshold subset
P4b_boundary_state_bias_documented,True,S1: bias=+0.015034; S6: bias=-0.000541; S7: bias=-0.000000,"boundary-state biases reported, not silently dropped (known PSD-projection structural property)"
P5_population_only_fails_coherent_vs_diagonal,True,pop-only |E[A_S1] - E[A_S2]| = 0.000620; tomography |E[A_S1] - E[A_S2]| = 0.593503,pop-only delta < 0.05 AND tomography delta > 0.3
positive_semidefinite_projection_yields_valid_purity_range,True,"S1: +1.503373e-02, S2: +6.085370e-01, S3: +3.411849e-02, S4: +4.270487e-02, S5: +5.178693e-02, S6: +6.661258e-01, S7: -2.081668e-16","all A_hat_PSD in [-1e-12, 2/3 + 1e-9] (PSD projection guarantees, modulo float roundoff)"
wrong_controls_all_documented_as_failures,True,6/6,6
