layer,source,contract,source_value,status,boundary
CR060a alphabet lock,CR060a,300 promoted symbols; five tiers; constants R=12 D=3 alpha_H=2,300,PASS,"alphabet is protocol tiering, not hardware proof"
CR061a ideal qubit selection,CR061a,2 q=0 alpha_H-ladder ideal candidates from 107 promoted 3-body standard rows,2,PASS,structural ideality only; other qubits not excluded
CR063a hardware translation,CR063a,old hardware translation is downgraded/refuted and not load-bearing,CR063a_HARDWARE_TRANSLATION_V1_REFUTED_BY_TRANSMON_T2_CONTACT_RESCUED_BY_CR064a_V1_1,PASS,do not use CR063a v1.0 as threshold proof
CR064a A0/T2 calibration,CR064a,A0 calibration is boundary pending citation verification and gate-rate artifact disclosure,CR064a_A0_CALIBRATION_AND_PUBLISHED_T2_VERIFICATION_V1_BOUNDARY_PENDING_CITATION_VERIFICATION_AND_GATE_RATE_ARTIFACT_DISCLOSURE,PASS,not QI threshold theorem; empirical table is provisional
CR065a implementation spec,CR065a,"NV implementation spec carries normalized probabilities (4/17, 9/17, 4/17)","Quantum probabilities (4/17, 9/17, 4/17); amplitudes (sqrt(4/17), sqrt(9/17), sqrt(4/17))",PASS,"specification, not experiment"
CR066a letter increment,CR066a,17/16 = Born unity + 1/16 letter increment; loaded probabilities normalize to one,17/16 = 1 + 1/16 = 1 + 1/alpha_H^4 = (Born unity) + (letter increment),PASS,not a modification of Born measurement rule
CR066b slot/contact layering,CR066b,"slot surcharge (0,1/16,0), contact surcharge (1/32,1/32,0), rejected mini packet",2 : 3 : 2,PASS,q=0 scope only
CR067a capacity scaling,CR067a capacity,c_N=1/alpha_H^(D+N); C_N=2^-D*(1-2^-N); ceiling 1/8,C_N = 2^-D * (1 - 2^-N),PASS,Holevo/Shannon connection remains open
CR067a/CR067b simulators,CR067a room / CR067b cryo,room run records 9/10 with one sensor preservation miss; cryo run passes 10/10,"{""cryo"": ""CR067b_PAUL_REVERE_NV_SIMULATOR_V1_CRYO_DD_SEALED__PREDICTIONS_10_OF_10__WRONG_CONTROLS_7_OF_7"", ""room"": ""CR067a_PAUL_REVERE_NV_SIMULATOR_V1_SEALED__PREDICTIONS_9_OF_10__WRONG_CONTROLS_7_OF_7""}",PASS,"simulator operating-point result, not live hardware"
CR068a warning-only threshold,CR068a,alarm fires at A_side=1/24 before A_share=1/12,A_side = 1/24,PASS,warning-only signal; carrier identity is not exposed
CR069a empirical contact table,CR069a,stage-2 empirical T2 table contains one violation and remains provisional,CR069a_STAGE2_T2_CONTACT_TABLE_SEALED__PREDICTIONS_7_OF_8__WRONG_CONTROLS_5_OF_6__ROWS_8__CONSISTENT_7__BOUNDARY_0__VIOLATIONS_1,PASS,not validation of QI thresholds; records the empirical boundary honestly
