check,status,value,detail
LC01 primitive stack passes,PASS,,LC01_PASS_LOCKED_PRIMITIVE_STACK_AND_REPLAY_REGISTER
LC06 baryon/matter lane passes before LC08,PASS,,LC06_PASS_BARYON_AND_MATTER_INVENTORY_REPLAY_FROM_LOCKED_PRIMITIVE_STACK
LC07 distance lane passes before LC08,PASS,,LC07_PASS_SN_BAO_DISTANCE_ROAD_REPLAY_FROM_LOCKED_PRIMITIVE_STACK
CR113 foundational R theorem passes,PASS,,CR113_PASS_A4_COMPLETED_WRITE_ADDRESS_COUNT_THEOREM
CR113 R equals LC01 R,PASS,12,R source
CR115 foundational D3 theorem passes,PASS,,CR115_PASS_D3_INVARIANT_CARRIER_UNIQUENESS_THEOREM_GATE
CR115 stable D list is [3],PASS,[3],D source
A0 remains downstream primitive normalization,PASS,1/(12*pi),LC01 primitive
CR022 execution clean,PASS,,BOUNDARY
CR022 structural success,PASS,,BOUNDARY
CR022 pass conditions all true,PASS,"{""external_empirical_overclaim_rejected"": true, ""free_parameters_introduced_zero"": true, ""many_nonzeros_accumulate_above_threshold"": true, ""sam_halo_cumulative_kernel_declared"": true, ""sam_many_source_kernel_declared"": true, ""single_nearzero_can_be_below_threshold"": true}",pass_conditions
CR022 wrong controls did not match packet,PASS,0,wrong_control_full_packet_count
CR022 evidence rows all pass,PASS,6,evidence rows
CR022 zero free parameters,PASS,0,declared premises
CR022 is not confirmation audit,PASS,False,declared premises
CR023 execution clean,PASS,,BOUNDARY
CR023 structural success,PASS,,BOUNDARY
CR023 pass conditions all true,PASS,"{""bb_pbh_inventory_dominates_hydrogen_arrival"": true, ""bb_pbh_inventory_matches_halo_lane"": true, ""free_parameters_introduced_zero"": true, ""halo_inventory_reading_declared"": true, ""inventory_sums_to_one"": true, ""post_bb_window_not_enough_for_full_halo"": true}",pass_conditions
CR023 wrong controls did not match packet,PASS,0,wrong_control_full_packet_count
CR023 evidence rows all pass,PASS,5,evidence rows
CR023 zero free parameters,PASS,0,declared premises
CR023 is not confirmation audit,PASS,False,declared premises
CR024 execution clean,PASS,,PASS
CR024 structural success,PASS,,PASS
CR024 pass conditions all true,PASS,"{""free_parameters_introduced_zero"": true, ""large_real_sparc_sample_loaded"": true, ""outer_dark_residual_detected"": true, ""post_bb_only_control_rejected_as_full_halo"": true, ""real_sparc_external_anchor_present"": true, ""wrong_controls_rejected_upstream"": true}",pass_conditions
CR024 wrong controls did not match packet,PASS,0,wrong_control_full_packet_count
CR024 evidence rows all pass,PASS,5,evidence rows
CR024 zero free parameters,PASS,0,declared premises
CR024 is not confirmation audit,PASS,False,declared premises
CR025 execution clean,PASS,,PASS
CR025 structural success,PASS,,PASS
CR025 pass conditions all true,PASS,"{""clustered_profile_improves_baryon_only"": true, ""free_parameters_introduced_zero"": true, ""halo_requires_clustered_overdensity"": true, ""native_radial_selector_debt_preserved"": true, ""real_sparc_sample_fit"": true, ""realistic_clustered_halo_profile_passed"": true, ""wrong_controls_rejected_upstream"": true}",pass_conditions
CR025 wrong controls did not match packet,PASS,0,wrong_control_full_packet_count
CR025 evidence rows all pass,PASS,6,evidence rows
CR025 zero free parameters,PASS,0,declared premises
CR025 is not confirmation audit,PASS,False,declared premises
CR026 execution clean,PASS,,PASS
CR026 structural success,PASS,,PASS
CR026 pass conditions all true,PASS,"{""comparison_candidate_recorded_not_selected_by_target"": true, ""free_parameters_introduced_zero"": true, ""open_mass_normalization_and_native_law_preserved"": true, ""post_bb_window_only_control_rejected"": true, ""seed_first_closes_most_baryon_to_profile_gap"": true, ""seed_first_primary_candidate_native_base12"": true, ""uniform_control_rejected"": true, ""wrong_controls_rejected_upstream"": true}",pass_conditions
CR026 wrong controls did not match packet,PASS,0,wrong_control_full_packet_count
CR026 evidence rows all pass,PASS,5,evidence rows
CR026 zero free parameters,PASS,0,declared premises
CR026 is not confirmation audit,PASS,False,declared premises
CR027 execution clean,PASS,,PASS
CR027 structural success,PASS,,PASS
CR027 pass conditions all true,PASS,"{""free_parameters_introduced_zero"": true, ""full_sfh_overclaim_rejected"": true, ""hydrogen_arrival_selected"": true, ""pbh_first_hydrogen_catchup_selected"": true, ""pbh_inventory_exceeds_hydrogen_inventory"": true, ""prediction_rows_complete"": true, ""seed_first_support_imported"": true, ""wrong_controls_complete"": true}",pass_conditions
CR027 wrong controls did not match packet,PASS,0,wrong_control_full_packet_count
CR027 evidence rows all pass,PASS,7,evidence rows
CR027 zero free parameters,PASS,0,declared premises
CR027 is not confirmation audit,PASS,False,declared premises
CR028 execution clean,PASS,,BOUNDARY
CR028 structural success,PASS,,BOUNDARY
CR028 pass conditions all true,PASS,"{""halo_radial_law_not_claimed"": true, ""no_external_particle_data_used"": true, ""private_baryon_scaffold_artifact_present"": true, ""proton_neutron_scaffold_filled"": true, ""remaining_baryon_boundaries_preserved"": true, ""zero_free_parameters"": true}",pass_conditions
CR028 wrong controls did not match packet,PASS,0,wrong_control_full_packet_count
CR028 evidence rows all pass,PASS,5,evidence rows
CR028 zero free parameters,PASS,0,declared premises
CR028 is not confirmation audit,PASS,False,declared premises
CR029 execution clean,PASS,,BOUNDARY
CR029 structural success,PASS,,BOUNDARY
CR029 pass conditions all true,PASS,"{""expected_boundary_verdict"": true, ""external_sparc_contact_present"": true, ""hydrogen_catchup_support_present"": true, ""native_radial_law_debt_declared"": true, ""no_full_theorem_claim_smuggled"": true, ""seed_first_support_present"": true, ""upstream_chain_present"": true}",pass_conditions
CR029 wrong controls did not match packet,PASS,0,wrong_control_full_packet_count
CR029 evidence rows all pass,PASS,5,evidence rows
CR029 zero free parameters,PASS,0,declared premises
CR029 is not confirmation audit,PASS,False,declared premises
CR030 execution clean,PASS,,PASS
CR030 structural success,PASS,,PASS
