canonical_signature,source_row_id,assembly_template_id,opaque_token_id,source_bucket,source_role,generated_role,source_native,expected_native,formula_status,formula_pass,signature_match,role_match,lineage_match,structural_match,native_match
CI:A_FIELD_CARRIER,QP093A-0305,TPL_24109c44bf543e9fde29f80b,TOK_b70120bc7b3fa94c02fee9c3,CARRIER_INFRASTRUCTURE,INFRASTRUCTURE,INFRASTRUCTURE,0,SOURCE_DEFINED,SOURCE_DEFINED,True,True,True,True,True,True
CI:COLOR_OWNER_CARRIER,QP093A-0304,TPL_14ffb3a3f7dbdc6fb1290ff6,TOK_520df08a46471b827ba38a85,CARRIER_INFRASTRUCTURE,INFRASTRUCTURE,INFRASTRUCTURE,8,SOURCE_DEFINED,SOURCE_DEFINED,True,True,True,True,True,True
CI:NEUTRAL_VECTOR_CARRIER,QP093A-0303,TPL_9632d8144977b337058644a8,TOK_b43ff35d93c8363786bbc4de,CARRIER_INFRASTRUCTURE,INFRASTRUCTURE,INFRASTRUCTURE,81,SOURCE_DEFINED,SOURCE_DEFINED,True,True,True,True,True,True
CI:ROAD_LIGHT_CARRIER,QP093A-0301,TPL_ba1c67999264aaae608253db,TOK_e5d0755852f50673b260f7a9,CARRIER_INFRASTRUCTURE,INFRASTRUCTURE,INFRASTRUCTURE,0,SOURCE_DEFINED,SOURCE_DEFINED,True,True,True,True,True,True
CI:TENSOR_CARRIER,QP093A-0300,TPL_20fe545c214a5417b1c6b9e0,TOK_040bcfc6458cf4ccc60ecfe0,CARRIER_INFRASTRUCTURE,INFRASTRUCTURE,INFRASTRUCTURE,18,SOURCE_DEFINED,SOURCE_DEFINED,True,True,True,True,True,True
CI:WEAK_VECTOR_CARRIER,QP093A-0302,TPL_a517db5261b746db1feef4e1,TOK_4a22dff128be367bbd944757,CARRIER_INFRASTRUCTURE,INFRASTRUCTURE,INFRASTRUCTURE,9,SOURCE_DEFINED,SOURCE_DEFINED,True,True,True,True,True,True
GS:HIGGS_REVEAL_PARENT,QP093A-0299,TPL_db217e3b064d7c37f6403c8a,TOK_4b80ba18848a4d139fc56ac1,SCALAR_PARENT,GLOBAL,GLOBAL,126000,SOURCE_DEFINED,SOURCE_DEFINED,True,True,True,True,True,True
HS:1,QP093A-0306,TPL_1ccf7de8aaced2977a3deb71,TOK_ffa33d7e050f01f6aee6ed07,HIDDEN_SUPPORT,INFRASTRUCTURE,INFRASTRUCTURE,1.006944444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444,145/144,SOURCE_PRECISION_BOUNDED,True,True,True,True,True,True
HS:12,QP093A-0313,TPL_e1c246e8f340d4a5ae61c46a,TOK_c0c61d2afc44bc2e137aacfc,HIDDEN_SUPPORT,INFRASTRUCTURE,INFRASTRUCTURE,13.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,13,EXACT,True,True,True,True,True,True
HS:2,QP093A-0307,TPL_1f08064a2edb1bd16ca39bf5,TOK_6ecbebf0a8e75fda8d3b06de,HIDDEN_SUPPORT,INFRASTRUCTURE,INFRASTRUCTURE,2.027777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777778,73/36,SOURCE_PRECISION_BOUNDED,True,True,True,True,True,True
HS:3,QP093A-0308,TPL_c97c5328089327369672b3c6,TOK_0a9f715ec01f1830a8bbb447,HIDDEN_SUPPORT,INFRASTRUCTURE,INFRASTRUCTURE,3.062499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,49/16,SOURCE_PRECISION_BOUNDED,True,True,True,True,True,True
HS:4,QP093A-0309,TPL_f33e4c488cd20372e1623aaf,TOK_be5a90df8f99adc6caf9d3e6,HIDDEN_SUPPORT,INFRASTRUCTURE,INFRASTRUCTURE,4.111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111112,37/9,SOURCE_PRECISION_BOUNDED,True,True,True,True,True,True
