check,status,value,detail
LC01 locked primitive stack available,PASS,,LC01_PASS_LOCKED_PRIMITIVE_STACK_AND_REPLAY_REGISTER
LC02 completed before LC04,PASS,,LC02_PASS_HIGGS_CLOSED_FORM_REPLAY_FROM_LOCKED_PRIMITIVE_STACK
LC03 completed before LC04,PASS,,LC03_PASS_QA_LEDGER_COMPRESSION_GRAVITY_AS_A_REPLAY
alpha_H locked at 2,PASS,2,LC01 primitive
R locked at 12,PASS,12,LC01 primitive
D locked at 3,PASS,3,LC01 primitive
R_squared locked at 144,PASS,144,LC01 primitive
split fraction locked at 1/8,PASS,1/8,LC01 primitive
surface debit locked at 0.75,PASS,3/4,LC01 primitive
CR061a 35-row mass-chain closure passes,PASS,,PASS_QP075_MASS_CHAIN_REPRODUCTION
CR061a closure rows are 35,PASS,35,base closure row count
CR061a operator rows are 26,PASS,26,operator row count
CR061a introduces zero free parameters,PASS,0,free parameter count
CR062a row-by-row ledger passes,PASS,,PASS_QP075_ROW_BY_ROW_PARTICLE_LEDGER_35_ROWS
CR062a ledger rows are 35,PASS,35,ledger row count
CR064a branch verdict passes,PASS,,PASS_QP075_PARTICLE_MASS_CHAIN_BRANCH_RERUN
CR119 vault passes,PASS,,PASS_CR119_COURTROOM_TABLE_VAULT_REVEAL__321_PARTICLE__126_MATTER__126_PERIODIC__DOWNSTREAM_IDENTITIES_ASSIGNED__KNOWN_LABELS_REVEAL_ONLY
CR119 particle row summary is 321,PASS,321,summary particle rows
CR119 particle table exports 321 rows,PASS,321,csv particle rows
CR119 matter rows are 126,PASS,126,summary matter rows
CR119 periodic rows are 126,PASS,126,summary periodic rows
CR119 known labels are reveal-only,PASS,"[""known labels are downstream reveal labels only"", ""particle and matter rows without known labels keep native identities"", ""Z119-Z126 remain SAM frontier unknown identities"", ""QP093A-0088 remains a null conjugate closure with zero reveal and no matter promotion"", ""tensor carrier is not promoted to particle row"", ""qA is not treated as mass""]",boundary text
CR119 nearest-match fake control exists and is rejected,PASS,1,fake_nearest_known_match rows
CR119 qA-as-mass fake control exists and is rejected,PASS,1,fake_direct_qA_as_mass rows
CR128 generator source passes,PASS,,CR128_BOUND_COLOR_PAIR_MASS_LAW_V1_SEALED
CR128 violation count is zero,PASS,0,violation metric
CR128b generator source passes,PASS,,CR128b_BOUND_COLOR_PAIR_S_DEBIT_LAW_V1_SEALED
CR128b violation count is zero,PASS,0,violation metric
CR129 generator source passes,PASS,,CR129_OCTET_COMPOSITE_3BODY_MASS_LAW_V1_SEALED
CR129 violation count is zero,PASS,0,violation metric
CR129b generator source passes,PASS,,CR129b_3BODY_S_DEBIT_MAGNITUDE_LAW_V1_SEALED
CR129b violation count is zero,PASS,0,violation metric
CR129c generator source passes,PASS,,CR129c_3BODY_UNIVERSAL_GENERATOR_SEALED
CR129c violation count is zero,PASS,0,violation metric
