check,status,value,detail
LC01 source exists,PASS,True,16_THE_LAST_CAMPAIGN/LC01_primitive_stack_lock.json
CR003 source exists,PASS,True,02_A_KERNEL_WEAK_FIELD/CR003_A_KERNEL_TYPED_READOUT_RECERTIFICATION/CR003_summary.json
CR103a source exists,PASS,True,14_FOUNDATIONAL_TESTS/CR103a_BOUNCE_COST_AND_A_DEPENDENCE_APPEAL/CR103a_summary.json
CR103a_lock source exists,PASS,True,14_FOUNDATIONAL_TESTS/CR103a_BOUNCE_COST_AND_A_DEPENDENCE_APPEAL/CR103a_appeal_lock.json
CR113 source exists,PASS,True,14_FOUNDATIONAL_TESTS/CR113_A4_COMPLETED_WRITE_ADDRESS_COUNT_THEOREM/CR113_summary.json
CR113_lock source exists,PASS,True,14_FOUNDATIONAL_TESTS/CR113_A4_COMPLETED_WRITE_ADDRESS_COUNT_THEOREM/CR113_completed_write_address_count_lock.json
CR116 source exists,PASS,True,14_FOUNDATIONAL_TESTS/CR116_18_GRAVITON_CARRIER_THEOREM/CR116_summary.json
CR147 source exists,PASS,True,04_PHOTON_ROAD_SHAPIRO_DELAY/CR147_GW170817_A_RELEASE_EM_ORIGIN_DIFFERENTIAL/CR147_summary.json
branch05_readme source exists,PASS,True,05_STRONG_FIELD_AND_HORIZON_CLOSURE/README.md
branch05_seal source exists,PASS,True,05_STRONG_FIELD_AND_HORIZON_CLOSURE/SEALED_STRONG_FIELD_SCOPE_APPROACH_2026_06_11.md
CR007 source exists,PASS,True,05_STRONG_FIELD_AND_HORIZON_CLOSURE/CR007_STRONG_FIELD_LANDMARK_SELECTOR/CR007_summary.json
CR008 source exists,PASS,True,05_STRONG_FIELD_AND_HORIZON_CLOSURE/CR008_CLOCK_TRAVERSAL_CLOSURE/CR008_summary.json
CR009 source exists,PASS,True,05_STRONG_FIELD_AND_HORIZON_CLOSURE/CR009_PHOTON_SPHERE_SHADOW_CONTACT/CR009_summary.json
