check_id,expected,observed,pass,significance
C00_PRECOMMIT_SEAL,"{""all_hashes_match"":true,""files"":3,""runner_absent_at_seal"":true}","{""all_hashes_match"":true,""files"":3,""runner_absent_at_seal"":true}",True,The executable was written after the frozen predictions and source contract.
C01_SOURCE_CONTRACT,"{""hash_and_byte_errors"":0,""source_count"":20}","{""hash_and_byte_errors"":0,""source_count"":20}",True,Every opened authority is the exact precommitted byte sequence.
C02_SOURCE_NATIVE_FORMULAS,"{""missing"":[],""required_snippets"":9}","{""missing"":[],""required_snippets"":9}",True,The canonical template is a direct consequence of frozen generator formulas.
C03_SOURCE_KIND_TOTALS,"{""carrier"":18,""ledger_shadow"":18,""matter"":126,""total"":162}","{""carrier"":18,""ledger_shadow"":18,""matter"":126,""total"":162}",True,The canonical ledger retains exact 18+126+18 source typing.
C04_W9_BY_K18_FACTORIZATION,"{""block_kind_counts"":{""carrier"":1,""ledger_shadow"":1,""matter"":7},""blocks"":9,""each_block"":18,""per_block_split"":[12,6]}","{""block_kind_counts"":{""carrier"":1,""ledger_shadow"":1,""matter"":7},""blocks"":9,""each_block"":[18,18,18,18,18,18,18,18,18],""per_block_split"":[[12,6]]}",True,The source-native ledger admits the exact candidate Cartesian inventory W9 x K18.
C05_PARTITION_NONUNIQUENESS,"[[64,63,7,true,12,6]]","[[64,63,7,true,12,6]]",True,"The first-12/final-6 split works but is one of 64 valid splits, not source-unique."
C06_ROUTE_EDGE_CANDIDATE,"{""incident"":12,""point_degree"":[4],""points"":6,""routes"":12,""unique_edges"":12}","{""incident"":12,""point_degree"":[4],""points"":6,""routes"":12,""unique_edges"":12}",True,A deterministic source-field address map covers all octahedral edges; physical edge identity remains open.
C07_SIX_FIBERS,"{""fibers"":6,""fingerprint"":[[3,21,3,27]],""side_total"":81}","{""fibers"":6,""fingerprint"":[[3,21,3,27]],""side_totals"":{""0"":81,""1"":81}}",True,"The orthogonal source-native inventory is six 27-slot fibers, each 3+21+3."
C08_CONSTRUCTED_TERNARY_RANK,"{""carrier"":[0,0,1,2],""ledger_shadow"":[0,0,1,2],""matter"":[1,6,10,4]}","""same matrix in all six fibers""",True,The 1/6/12/8 rank counts are exact only after a declared constructed base-three labeling.
C09_H27_FACE_POSET,"{""components"":[27],""degree_histogram"":{""4"":26,""8"":1},""links"":{""cell_face"":8,""edge_point"":24,""face_edge"":24},""nodes"":27,""roles"":{""cell"":1,""edge"":12,""face"":8,""point"":6}}","{""components"":[27],""degree_histogram"":{""4"":26,""8"":1},""links"":{""cell_face"":8,""edge_point"":24,""face_edge"":24},""nodes"":27,""roles"":{""cell"":1,""edge"":12,""face"":8,""point"":6}}",True,"The candidate graph is exact octahedral combinatorics, not a claim of source dynamical adjacency."
C10_PRIOR_SELECTOR_CONTROL,"[[27,32,""[9,6,6,6]"",""{\""1\"":8,\""2\"":12,\""4\"":6,\""8\"":1}"",8,24]]","[[27,32,""[9,6,6,6]"",""{\""1\"":8,\""2\"":12,\""4\"":6,\""8\"":1}"",8,24]]",True,The old 32-link selector is reproduced and distinguished from octahedral incidence.
C11_GRAPH_REPLACEMENT_NOT_ADDITION,"{""h27_only"":48,""intersection"":8,""jaccard"":0.1,""no_face_edge"":{""components"":[18,9],""links"":32},""prior_only"":24,""union"":80}","{""h27_only"":48,""intersection"":8,""jaccard"":0.1,""no_face_edge"":{""components"":[18,9],""links"":32},""prior_only"":24,""union"":80}",True,The candidate replaces 24 anti-incidences and adds 24 face-edge links; it is not old32+24.
C12_OCTAHEDRAL_AUTOMORPHISMS,"{""all_preserve_nodes_and_edges"":true,""transformations"":48}","{""all_preserve_nodes_and_edges"":true,""transformations"":48}",True,Axis names and global orientation are gauge conventions at this structural layer.
C13_SIDE_REVERSAL,"{""each_side"":[9,63,9,81],""global_reversal_preserves_graph"":true}","{""global_reversal_preserves_graph"":true,""side_rows"":[{""carrier"":9,""matter"":63,""shadow"":9,""side"":0,""total"":81},{""carrier"":9,""matter"":63,""shadow"":9,""side"":1,""total"":81}]}",True,The two 81-slot sides are exact but no physical polarity is selected.
C14_BOUNDARY_QUOTIENT,"{""candidate_count"":2,""each"":[18,36,81,81,18,144,126,162],""orientation_selected_by_counts"":false}","{""audits"":[{""boundary_occurrences_used"":36,""intersection_classes"":18,""involution_no_fixed_points"":true,""kind_rule_satisfied"":true,""locality_and_antipode_satisfied"":false,""occurrence_sum"":162,""pair_count"":18,""pairing"":""cross_kind"",""side_a_cardinality"":81,""side_b_cardinality"":81,""symmetric_difference"":126,""union_classes"":144},{""boundary_occurrences_used"":36,""intersection_classes"":18,""involution_no_fixed_points"":true,""kind_rule_satisfied"":true,""locality_and_antipode_satisfied"":true,""occurrence_sum"":162,""pair_count"":18,""pairing"":""same_kind"",""side_a_cardinality"":81,""side_b_cardinality"":81,""symmetric_difference"":126,""union_classes"":144}],""candidate_count"":2,""orientation_selected_by_counts"":false}",False,Both cross-kind and same-kind antipodal pairings close the ladder; counts do not privilege one.
C15_WRONG_CONTROLS,"{""controls"":16,""unexpected_behavior"":0}","{""controls"":16,""unexpected_behavior"":1}",False,"The candidate is compared against topology, split, quotient, and orientation controls."
C16_FIREWALL,"{""binding_opened"":false,""fitted_parameters"":0,""forbidden_fields_used"":[],""forbidden_path_hits"":[],""outcomes_opened"":false}","{""binding_opened"":false,""fitted_parameters"":0,""forbidden_fields_used"":[],""forbidden_path_hits"":[],""outcomes_opened"":false}",True,This run is a structural comparison only; all outcome and binding lanes remain closed.
