control_id,control_class,control,required_disposition,falsifies_if,result,rejected
WC01,target_leakage,measured coordination number selects envelope,REJECT,a species envelope changes to match observation,REJECTED_BY_FROZEN_CONSTRUCTION,true
WC02,target_leakage,hydrated radius selects graph,REJECT,a measured radius changes construction,REJECTED_BY_FROZEN_CONSTRUCTION,true
WC03,target_leakage,dehydration or de-coordination energy selects graph,REJECT,a measured or simulated energy changes construction,REJECTED_BY_FROZEN_CONSTRUCTION,true
WC04,target_leakage,membrane rejection or flux selects graph,REJECT,a membrane result changes construction,REJECTED_BY_FROZEN_CONSTRUCTION,true
WC05,rescue_rule,species-specific hydration-support count,REJECT,one species receives a custom envelope,REJECTED_BY_FROZEN_CONSTRUCTION,true
WC06,rescue_rule,post-reveal primary/control swap,REJECT,a control becomes primary after results are known,REJECTED_BY_FROZEN_CONSTRUCTION,true
WC07,selector_invention,element symbol directly selects QP triad,REJECT,an unsourced element-to-triad map is used,REJECTED_BY_FROZEN_CONSTRUCTION,true
WC08,selector_invention,atomic number modulo R selects QP triad,REJECT,an invented radix selector is used,REJECTED_BY_FROZEN_CONSTRUCTION,true
WC09,selector_invention,isotope choice selects graph,REJECT,an unsealed isotope choice changes construction,REJECTED_BY_FROZEN_CONSTRUCTION,true
WC10,physical_input,bond length or angle enters graph,REJECT,a physical geometry target enters construction,REJECTED_BY_FROZEN_CONSTRUCTION,true
WC11,physical_input,partial atomic charges enter graph,REJECT,a force-field or fitted charge enters construction,REJECTED_BY_FROZEN_CONSTRUCTION,true
WC12,physical_input,wall chemistry or pore functionalization enters graph,REJECT,the species graph is tuned to a membrane,REJECTED_BY_FROZEN_CONSTRUCTION,true
WC13,physical_unit_leakage,M_native becomes radius distance or energy,REJECT,a QP number is promoted to a physical unit,REJECTED_BY_FROZEN_CONSTRUCTION,true
WC14,acoustic_dependency,frequency mode power or escape index enters graph,REJECT,the passive species system depends on shelved acoustics,REJECTED_BY_FROZEN_CONSTRUCTION,true
WC15,starbreaker_dependency,A ledger density remnant or collapse enters graph,REJECT,the species system depends on untyped process context,REJECTED_BY_FROZEN_CONSTRUCTION,true
WC16,tie_suppression,candidate ID breaks equal compatibility vectors,REJECT,file order becomes a physical prediction,REJECTED_BY_FROZEN_CONSTRUCTION,true
WC17,tie_suppression,Na and K topology tie is hidden,REJECT,a source-unavailable distinction is implied,REJECTED_BY_FROZEN_CONSTRUCTION,true
WC18,tie_suppression,Mg and Ca topology tie is hidden,REJECT,a source-unavailable distinction is implied,REJECTED_BY_FROZEN_CONSTRUCTION,true
WC19,geometry_overclaim,tetrahedral controls are globally excluded,REJECT,CR120U's open tetrahedral boundary is overwritten,REJECTED_BY_FROZEN_CONSTRUCTION,true
WC20,geometry_overclaim,OCT6 primary is called measured hydration ontology,REJECT,a common hypothesis is promoted to physical fact,REJECTED_BY_FROZEN_CONSTRUCTION,true
WC21,speciation_error,B(OH)3 and B(OH)4- are merged,REJECT,pH-dependent boron identities are collapsed,REJECTED_BY_FROZEN_CONSTRUCTION,true
WC22,promotion_error,graph family is called membrane selectivity or desalination,REJECT,construction is promoted to a physical result,REJECTED_BY_FROZEN_CONSTRUCTION,true
